#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Detected Sprint,Resolved Sprint,Technology,Defect Category,Probable Cause,Type of Bug,Is Regression Bug?,Severity,Private
1557,Data Production,Bug,"",Duplicate,Normal,"On Add delivery menu, the Action column should be disabled for existing delivery.",Udip Chatterjee,Shubham Jain,03/01/2017 04:27 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:26 PM,"","",Sprint 21,"","","","",Functional,false,Minor,false
1556,Data Production,Suggestions,"",Resolved,Normal,Date selection should be as per Proposal,Udip Chatterjee,Piyush Balapure,03/02/2017 07:49 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:20 PM,"","",Sprint 21,Sprint 25,Angular,"","","",false,Moderate,false
1555,Data Production,Bug,"",Feedback,Normal,Create/Update TEMPLATE -> Report Columns/ Report Formatting -> Sometimes while removing the confirmation pop-up hides,Shubham Jain,Shubham Jain,03/01/2017 02:41 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:10 PM,"","",Sprint 21,"",UI/UX,UI,"",Functional,false,Moderate,false
1554,Data Production,Bug,"",Closed,Normal,[API]: Report Preview: Countries column showing wrong information,Gaurav Mothekadam,Shubham Jain,03/01/2017 04:38 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:07 PM,03/01/2017 04:38 PM,"",Sprint 21,"",.Net,"",Unit testing not done,Functional,false,Moderate,false
1553,Data Production,Bug,"",Closed,Normal,CONTRACTS -> DETAILS -> INFO -> Hand Sign is not Coming on downloading file links,Shubham Jain,Shubham Jain,03/01/2017 08:14 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 01:03 PM,03/01/2017 08:14 PM,"",Sprint 21,Sprint 20,Angular,UI,Oversight,Functional,false,Minor,false
1552,Data Production,Bug,"",Rejected,Urgent,Gross/Net Ratio is missing in report,Shubham Jain,Shubham Jain,03/01/2017 12:53 PM,"","",02/28/2017,"","",0.00,0,02/28/2017 12:06 PM,03/01/2017 12:52 PM,"",Sprint 21,"","","","",Functional,false,Major,false
1551,Codification,Bug,"",Closed,High,500 error appears on clicking report download button.,Udip Chatterjee,Shubham Jain,03/03/2017 03:07 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 08:28 PM,03/03/2017 03:07 PM,"",Sprint 21,"","","","",Functional,false,Major,false
1550,Codification,Bug,"",Resolved,Low,Variation - Datetime format is not proper,Udip Chatterjee,Sagar Tambe,03/02/2017 04:00 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 08:25 PM,"","",Sprint 21,"",Angular,Logical,Oversight,Functional,false,Minor,false
1549,Data Production,Bug,"",Resolved,High,Data Production-->Report Delivery Schedule-->Data Status: Application is displaying not available status even when data is available in FACT  table ,Tejas Chaudhari,Shubham Jain,03/02/2017 05:00 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 08:25 PM,"","",Sprint 21,"",.Net,"",Unit testing not done,Functional,false,Major,false
1548,Data Production,Bug,"",Closed,Normal,Data Production-->Info-->Converted By-->Application is displaying Converted By field blank  ,Tejas Chaudhari,Shubham Jain,03/01/2017 06:45 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 08:09 PM,03/01/2017 06:45 PM,"",Sprint 21,"","","","",Functional,false,Moderate,false
1547,ETL,Bug,"",Resolved,High,Variation should be performed with respect to a specific Client Specification,Udip Chatterjee,Shubham Jain,03/01/2017 01:32 PM,"","",02/28/2017,02/28/2017,8.00,8.00,100,02/27/2017 08:02 PM,"","",Sprint 21,Sprint 22,.Net,"",Impact Analysis not done,Functional,false,Moderate,false
1546,Data Production,Bug,"",Closed,High,[Angular]:Data Production-->Report Delivery Schedule-->Delivery Date is not displayed properly,Tejas Chaudhari,Shubham Jain,03/01/2017 04:36 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 07:55 PM,03/01/2017 04:36 PM,"",Sprint 21,"","","","",Functional,false,Major,false
1545,Data Production,Bug,"",Closed,High,[Angular]:Data Production-->Report Delivery Schedule-->Update Template-->Report Columns-->Application is not displaying valid result when filter is applied ,Tejas Chaudhari,Shubham Jain,03/01/2017 12:25 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 07:22 PM,03/01/2017 12:25 PM,"",Sprint 21,Sprint 20,Angular,Logical,Unit testing not done,Functional,false,Major,false
1544,Data Production,Bug,"",In Progress,Normal,Data Production-->Report Delivery Schedule-->Report Generation History-->Application is displaying No Record Found message when clicked on download count,Tejas Chaudhari,Dipesh Pachlegaonkar,03/03/2017 12:44 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 06:45 PM,"","",Sprint 21,"",Angular,"","",Functional,false,Moderate,false
1543,ETL,Bug,"",Resolved,Normal,ETL -> None of the entry is logged into fileerror while many files has been marked as data error,Shubham Jain,Shubham Jain,03/01/2017 01:29 PM,"","",02/27/2017,02/27/2017,8.00,8.00,100,02/27/2017 06:27 PM,"","",Sprint 21,Sprint 22,.Net,"",Impact Analysis not done,Functional,false,Moderate,false
1542,KANTAR,Bug,"",New,Low,On Cancelled/Completed/Archived -> The breadcrums always landing on active section,Shubham Jain,Dipesh Pachlegaonkar,02/27/2017 06:14 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 06:13 PM,"","",Sprint 21,"","","","",Functional,false,Minor,false
1541,Proposals,Bug,"",Resolved,Normal,Matching Data Provider functionality is improper. Also wrong error message appears while searching matching Data Providers,Udip Chatterjee,Shubham Jain,03/01/2017 04:07 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 04:22 PM,"","",Sprint 21,Sprint 21,.Net,"","",Functional,false,Moderate,false
1540,Data Production,Bug,"",Closed,Normal,Client specification is proposal shifts after convert to contract,Shubham Jain,Shubham Jain,03/03/2017 02:11 PM,"","",02/27/2017,"","",0.00,0,02/27/2017 04:13 PM,03/03/2017 02:11 PM,"",Sprint 21,"",.Net,"","",Functional,false,Moderate,false
